Item,Qty,Reference(s),Value,Manufacturer,Mfr. Part number
1,19,"C1, C5, C8, C9, C10, C11, C13, C15, C17, C18, C19, C20, C22, C23, C24, C33, C35, C37, C38",1uF,Samsung Electro-Mechanics,CL10B105KA8NNNC
2,5,"C2, C7, C16, C28, C29, C36",0.1uF,Samsung Electro-Mechanics,CL10B104KB8NNNC
3,6,"C3, C14, C25, C40, C41, C43",10nF,Samsung Electro-Mechanics,CL10B103KB8NNNC
4,5,"C4, C6, C12, C27, C30",10uF,Samsung Electro-Mechanics,CL21A106KAYNNNE
5,1,C21,200pF,Samsung Electro-Mechanics,CL10C201JB8NNNC
6,2,"C26, C32",22uF,Samsung Electro-Mechanics,CL21A226MAQNNNE
7,2,"C31, C34",2pF,Samsung Electro-Mechanics,CL10C020BB8NNNC
8,2,"C42, C44",1nF,Samsung Electro-Mechanics,CL10B102KB8NNNC
9,1,"D1, D2, D3, D4",Status LED,EKINGLUX,E6C0606RGBC3UDA
10,2,"D5, D6",B5819W,Microdiode Electronics,B5819W
11,1,J1,SWD,Amphenol ICC,20021121-00010C4LF
12,1,J2,USB_C_Receptacle_USB2.0,Korean Hroparts Electronics,TYPE-C-31-M-12
13,1,J3,DUT,TE Connectivity,1-1634624-0
14,2,"L1, L2",4.7uH,Taiyo Yuden,CBC3225T4R7MR
15,1,Q1,AO3401A,BORN,AO3401A
16,15,"R1, R2, R9, R11, R12, R17, R18, R20, R21, R22, R24, R26, R29, R32, R39",10k,Panasonic,ERJPB3D1002V
17,7,"R3, R4, R5, R7, R23, R25, R28",1k,Panasonic,ERJ3RBD1001V
18,2,"R6, R16",5.1k,Panasonic,ERJ3EKF5101V
19,8,"R8, R10, R13, R15, R19, R27, R30, R31",100k,Panasonic,ERJPB3D1003V
20,2,"R14, R36",330k,Panasonic,ERJ3EKF3303V
21,3,"R33, R34, R35",47k,Panasonic,ERJPA3F4702V
22,5,"R37, R38, R42, R43, R44",100,Panasonic,ERJ3EKF1000V
23,1,R40,50,Panasonic,ERA3AEB49R9V
24,1,R41,10,Panasonic,ERJUP3D10R0V
25,1,U1,ADS1115IDGS,Texas Instruments,ADS1115IDGSR
26,3,"U2, U7, U9",GS8331,Gainsil,GS8331-TR
27,1,U3,STM32F072C8Ux,ST Microelectronics,STM32F072CBU6
28,1,U4,TS321,ST Microelectronics,TS321AILT
29,1,U5,USBLC6-2SC6,ST Microelectronics,USBLC6-2SC6
30,1,U6,ME6212C33M5G,Microne,ME6212C33M5G
31,1,U8,MCP1501T-40E_CHY,Microchip,MCP1501T-40E/CHY
32,1,U10,LT1970,Analog Devices,LT1970CFE#PBF
33,1,U11,DAC8571IDGKR,Texas Instruments,DAC8571IDGKR
34,1,U12,TPS65131RGET,Texas Instruments,TPS65131RGET
35,1,U13,H7650-45PR,Shanghai Siproin Microelectronics,H7650-45PR
36,1,U14,PGA281,Texas Instruments,PGA281AIPWR
